Unnamed: 0,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
42,42 Coin,Scrypt,True,PoW/PoS,41.99995383,42.0
404,404Coin,Scrypt,True,PoW/PoS,1055184902.04,532000000.0
1337,EliteCoin,X13,True,PoW/PoS,29279424622.5027,314159265359.0
BTC,Bitcoin,SHA-256,True,PoW,17927175.0,21000000.0
ETH,Ethereum,Ethash,True,PoW,107684222.6865,0.0
LTC,Litecoin,Scrypt,True,PoW,63039243.3000049,84000000.0
DASH,Dash,X11,True,PoW/PoS,9031294.37563393,22000000.0
XMR,Monero,CryptoNight-V7,True,PoW,17201143.1449131,0.0
ETC,Ethereum Classic,Ethash,True,PoW,113359703.0,210000000.0
ZEC,ZCash,Equihash,True,PoW,7383056.25,21000000.0
BTS,Bitshares,SHA-512,True,PoS,2741570000.0,3600570502.0
DGB,DigiByte,Multiple,True,PoW,11406219141.0,21000000000.0
BTCD,BitcoinDark,SHA-256,True,PoW/PoS,1288862.0,22000000.0
XPY,PayCoin,SHA-256,True,PoS,11995334.8847328,12500000.0
PRC,ProsperCoin,Scrypt,True,PoW,5768310.0,21000000.0
KOBO,KoboCoin,X15,True,PoW/PoS,25542535.5881841,350000000.0
SPR,Spreadcoin,X11,True,PoW,11149733.9976203,20000000.0
ARG,Argentum,Scrypt,True,PoW,12205795.4449549,64000000.0
AUR,Aurora Coin,Scrypt,True,PoW/PoS,18135099.992959,16768584.0
BLU,BlueCoin,Scrypt,True,PoW/PoS,635423900.0,0.0
XMY,MyriadCoin,Multiple,True,PoW,1688254250.0,2000000000.0
MOON,MoonCoin,Scrypt,True,PoW,88.0,384000000000.0
ZET,ZetaCoin,SHA-256,True,PoW,170204389.754849,169795588.0
SXC,SexCoin,Scrypt,True,PoW,128940951.183046,250000000.0
QTL,Quatloo,Scrypt,True,PoW,7357794.7925,100000000.0
ENRG,EnergyCoin,Scrypt,True,PoW/PoS,123062801.128773,0.0
QRK,QuarkCoin,Quark,True,PoW,259557164.91477,247000000.0
RIC,Riecoin,Groestl,True,PoW,49548585.1412917,84000000.0
DGC,Digitalcoin ,Scrypt,True,PoW,33442988.3440364,48166000.0
BTB,BitBar,Scrypt,True,PoW/PoS,42579.476901,500000.0
CAT,Catcoin,Scrypt,True,PoW,7219956.64626131,21000000.0
CBX,CryptoBullion,Scrypt,True,PoW/PoS,1039116.65144562,1000000.0
CCN,CannaCoin,Scrypt,True,PoW,4703879.51824446,13140000.0
CRYPT,CryptCoin,X11,True,PoW,4996986.20575291,18000000.0
CSC,CasinoCoin,Scrypt,True,PoC,39999997299.8568,40000000000.0
DMD,Diamond,Groestl,True,PoW/PoS,3304487.74735637,4380000.0
XVG,Verge,Multiple,True,PoW,15929530669.1206,16555000000.0
DVC,DevCoin,SHA-256,True,PoW,18773857500.0,21000000000.0
EAC,EarthCoin,Scrypt,True,PoW,12539015186.822,13500000000.0
EFL,E-Gulden,Scrypt,True,PoW,20910478.8062499,21000000.0
EMC2,Einsteinium,Scrypt,True,PoW,218871896.499999,299792458.0
